GP,WinPer,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-,year
82,62.2,48.4,39.1,87,9.4,25.3,19.1,23.5,12.5,34,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,106.7,4,2014
82,35.4,48.4,36.9,82.5,6,18,20.7,27.3,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,100.5,-2.9,2014
82,67.1,48.7,40.6,83.5,8.5,21.4,15.7,20,9.3,34,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,105.4,7.7,2014
82,59.8,48.4,36.5,81.9,8.7,23.4,19.6,25.1,11.4,31.1,42.5,21.2,14.1,7,4.2,4.3,23,22.1,101.3,3.2,2014
82,46.3,48.1,36,81.1,6.6,19.2,16.4,22,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,95,-7.2,2014
82,56.1,48.7,38.7,84.4,7.9,20.8,15.3,20.9,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,100.7,1.3,2014
82,46.3,48.4,37.6,81,8.6,23.2,14.1,19.7,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18,18.8,98,0.4,2013
82,30.5,48.1,37,79.7,6.1,17.2,16.3,21,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4,96.5,-0.2,2013
82,53.7,48.5,35.9,79.8,7.7,21.5,17.5,23.9,12.8,30,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,96.9,1.8,2013
82,52.4,48.5,34.4,81.1,5.7,17.1,18.9,25.1,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19,21.3,93.4,-9.2,2013
82,58.5,48.6,35.7,81.7,5.4,15.4,16.4,21.2,12.5,30.7,43.2,23,14.3,7.2,5.1,5.8,19.7,19.6,93.2,0.3,2013
82,40.2,48.6,36.5,84.2,6.7,19.3,16.8,22.3,12.2,28.8,41,20.7,14,7.9,4.1,6.8,21.2,19.7,96.5,-4.7,2013
82,59.8,48.4,38.8,84,7.4,19.9,16.1,20.4,9.4,32.6,41.9,23.2,14,7.9,5.5,4.1,20.7,18.9,101.1,-0.6,2013
82,43.9,48.2,40.7,85.2,6.4,18.5,18.4,26.2,13.3,31.7,45,24.4,15.3,9.3,6.5,6.8,20.5,21.6,106.1,5.1,2013
82,35.4,48.2,36.3,81,6.3,17.6,15.9,22.8,12.1,30,42.1,21.2,15.1,7,4.9,5.8,19.8,19.9,94.9,-4,2013
82,62.2,48.4,38.2,83.4,8,19.9,16.8,21.3,10.8,34.2,45,22.5,15.1,6.9,4.2,4.9,21.4,19.2,101.2,0.9,2013
82,65.9,48.4,38.1,82.7,10.6,28.9,19.2,25.5,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,106,3.5,2013
82,68.3,48.2,35.1,80.6,6.9,19.7,17.6,23.6,12.9,33,45.9,20.3,15.1,7.2,6.3,5.7,20,21.9,94.7,4,2013
82,69.5,48.2,38.5,80.6,7.6,21.4,16.4,23,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,101.1,6.5,2013
82,32.9,48.1,37.1,81,8.7,24.6,19.3,27.9,11.5,33.3,44.8,22.2,15,7,5.2,4.8,17.9,23.1,102.2,1.2,2013
82,61,48.3,36.1,81.5,4.7,13.5,16.5,21.3,12.9,29.8,42.7,20.9,14,8.6,5.3,5.5,20.2,20,93.4,4.1,2013
82,65.9,48.5,38.4,77.4,8.7,22.1,17.4,23,8.2,30.4,38.6,23,13.9,8.7,5.4,3.2,18.7,20.4,102.9,7.9,2013
82,18.3,48.5,38.1,87.8,7.3,20.4,15.3,20.7,13,30.9,44,22.9,14.1,8.4,6.7,4.4,19,19.1,98.9,-1.5,2013
82,48.8,48.4,35.9,81.7,5.5,18,18.5,24.9,11.9,30.2,42,22.4,14.8,8.5,4.7,5.9,18.4,22.5,95.7,-2.4,2013
82,41.5,48.4,36,80.4,6.5,18,15.5,20,12,29.6,41.6,21,14.5,6.3,5.4,6,20.4,18.7,94.1,-3.9,2013
82,45.1,48.4,36.5,81.6,10.9,28.9,16,21.1,10.9,29.7,40.6,19.3,12,8.2,3.6,4,20.1,19.2,100,4.2,2013
82,72,48.3,38.1,79.3,7.3,19.4,22.2,26.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,105.7,9.2,2013
82,28,48.7,37.7,84.2,6.2,18.7,12.5,16.6,10.9,31.9,42.7,22.8,14.5,6.4,4.4,5.2,19.4,16.5,94.1,-7,2013
82,23.2,48.4,37.3,84.1,6.3,17.5,12.2,16.8,10.9,30.4,41.3,22.8,13,7.4,4.7,4.8,18.4,16.2,93.2,-3.3,2013
82,58.5,48.2,37.3,84.4,5.9,17.7,14.7,19.7,11.7,29.9,41.6,22.6,15.6,8,5.3,5.1,20.6,18.4,95.2,-6.5,2013
82,65.9,48.4,36.7,81.9,8.2,23.2,15.9,20.5,10.7,30.2,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7,97.5,-3.2,2013
82,34.1,48.4,37.6,84.2,7.4,20.5,17.5,22.8,11.5,29.1,40.6,20.8,14.6,8.2,4.2,6.3,20.9,20,100.2,-4.9,2013
82,75.6,48.2,39.1,81.4,8.1,21.5,16.6,21,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,103,6.4,2013
82,58.5,48.7,36.3,81.5,7,20.3,17.6,22.3,10.6,29.6,40.2,21.5,13.7,7.3,4.8,4.7,22.4,20.1,97.2,-1.5,2013
82,30.5,48.2,37.1,81.8,6.2,16.9,17.5,23,12.1,30,42,22.7,14.8,8.4,6.3,5.9,21.3,20.4,98,-0.1,2013
82,53.7,48.9,35.5,81.6,6.6,18.2,15.6,21.3,10.8,32.3,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1,93.2,-2.5,2013
82,53.7,48.4,36.8,81,7.5,20.2,15.5,21,9.9,31.3,41.2,22.4,14,8.1,4.6,4.7,17.8,19.1,96.6,3.4,2012
81,50.6,49,35.5,77.1,5.5,15,15.4,19.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,91.8,2.5,2012
82,59.8,48.4,33.2,80.2,4,13.5,16.5,22.2,10.3,28.7,39,20.1,14.5,6,5.5,5.7,18.9,20.3,87,-13.9,2012
82,25.6,48.3,37.4,82.8,6.3,16.9,15.2,21.1,13.9,32.8,46.7,23.1,14,6.9,5.9,5.2,17.3,17.7,96.3,8.2,2012
82,54.9,48.4,34.3,81.2,6.7,19.3,17.8,24.9,12.7,29.5,42.3,19.8,15.4,7.1,4,6.2,20,20.9,93,-7.2,2012
82,29.3,48.1,36.3,82,7.5,22.2,15.6,20.2,10.1,32.7,42.8,20.9,14,8.6,5.1,4,18.6,18.4,95.8,1,2012
82,50,48.7,39,81.9,6.6,19.9,19.6,26.7,11.2,31.9,43.1,24,15.4,8.2,5,6.7,19.7,22,104.1,2.9,2012
82,69.5,48.5,34.7,79.3,4.8,13.9,16.6,22.1,11.7,28.5,40.3,18.7,15.7,7,4.2,5.3,19.6,19.4,90.9,-4.8,2012
82,35.4,48.3,37.7,82.5,7.9,20.5,14.4,18.7,9.7,29.5,39.2,22.3,13.9,8,5.5,5,21.4,16.6,97.8,-3.4,2012
82,57.3,48.3,37.7,84,7.2,20.2,15.4,19.7,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,98.1,0.2,2012
82,54.9,48.2,35.7,81.4,5.9,16.1,20.4,26.1,12.5,31.4,43.9,18.6,14,7.9,5.4,6,21.7,21.6,97.7,3.3,2012
81,60.5,48.4,37,81.3,7.8,21.8,15.8,23.3,12.1,29.4,41.6,21,13.3,8.4,4.8,4.5,21.2,21.2,97.5,2.6,2012
82,68.3,48.1,36.8,80.6,5.5,16.8,18.2,24.1,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,97.3,1.4,2012
82,54.9,48.2,36.7,82.2,4.2,12.9,17.3,22.8,12.6,29.5,42,19.5,14.5,9.6,5.2,5.5,19.9,19.3,95,2,2012
82,68.3,48.3,37.1,79,5.6,15.6,18.8,24.2,10.4,31.2,41.6,20,15.2,8.9,5.4,4.2,19.4,20.5,98.5,6,2012
82,80.5,48.5,37.9,85.6,6.6,19.2,16.6,21.4,12.4,30,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,99,0.3,2012
82,46.3,48.4,35.7,82.3,7.2,21.6,19.4,25.2,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7,97.9,-2.2,2012
82,37.8,48.1,34.3,80.6,7.7,22.4,16.9,21.7,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5,19.2,19.3,93.1,-6,2012
82,32.9,48.2,34.8,77.3,3.9,11.8,16,21.2,11,30.2,41.1,20.7,15.5,7.4,4.8,5.8,20.1,18.7,89.6,-3.8,2012
82,65.9,48.1,35.8,80.8,7.8,23.3,18.3,24.8,11.3,30.5,41.7,20.1,16,9.4,4.2,5.1,21.1,21.8,97.8,3.2,2012
82,73.2,48.4,37.3,79.2,7.2,20,21.3,26.4,11,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20,103.1,6.1,2012
